app_name,data,star,avaliacoes_totais,downloads_totais
Orsegups - Meu Condomínio,2025-03-28,"4,4",342,10000
Parteli Gestão Predial,2025-03-28,,0,100
GRUPO PARADIGMA SC,2025-03-28,,0,50
Parceria Condomínios,2025-03-28,"3,9",7,1000
Sensato Condomínios,2025-03-28,"4,5",11,500
Cattoni Condomínios,2025-03-28,"4,9",18,1000
Intuitive Condomínios,2025-03-28,"4,6",83,5000
Novara Adm,2025-03-28,,0,10
ADC Condomínios,2025-03-28,"4,7",24,1000
Excel Condomínio Digital,2025-03-28,,0,500
Grupo LRS,2025-03-28,"4,6",33,1000
Duocon Condomínios,2025-03-28,"4,9",9,500
Créditus condomínios,2025-03-28,,0,100
Dimas,2025-03-28,,0,100
Berger Condomínios,2025-03-28,"4,7",7,500
Uptime Condomínios,2025-03-28,"4,6",18,1000
Zimmermann Condomínios,2025-03-28,,0,100
Ático Contabilidade,2025-03-28,,0,10
Zello Administradora,2025-03-28,,0,1000
Suporte Condominios,2025-03-28,"4,3",11,1000
Tecad Condomínios,2025-03-28,"4,2",44,1000
Taquari Condomínios,2025-03-28,"4,4",41,1000
Robotton line,2025-03-28,"4,4",555,10000
Grupo Moraes Condomínios,2025-03-28,"4,9",19,1000
ADFAP Condomínios,2025-03-28,,0,100
Khronos Condomínios,2025-03-28,"4,4",280,10000
Coelho & Martins,2025-03-28,"4,6",23,1000
JAB Condomínios,2025-03-28,,0,100
Neval Condomínios,2025-03-28,"4,9",9,100
Grupo SK,2025-03-28,"4,7",305,10000
Zafira Condomínios,2025-03-28,"4,5",109,5000
Verti Administradora,2025-03-28,"4,8",108,10000
Winker,2025-03-28,"4,7",2830,100000
Convivium Condomínios,2025-03-28,"4,4",40,1000
Attento Condomínios,2025-03-28,"4,7",88,5000
Exacto Condomínios,2025-03-28,"4,6",119,10000
Conviver Administradora,2025-03-28,"5,0",10,1000
LLOYD,2025-03-28,"4,4",112,10000
IATE MARINE,2025-03-28,,0,100
FICAM Condomínios,2025-03-28,"4,9",32,1000
BLACK OFFICE CLASS,2025-03-28,"5,0",9,100
Agecon Condomínios,2025-03-28,"4,7",10,1000
